nofish,livebait,camper,persons,child,xb,zg,count
1,0,0,1,0,-0.896,3.05,0
0,1,1,1,0,-0.558,1.746,0
0,1,0,1,0,-0.402,0.28,0
0,1,1,2,1,-0.956,-0.602,0
0,1,0,1,0,0.437,0.528,1
0,1,1,4,2,1.394,-0.708,0
0,1,0,3,1,0.185,-3.398,0
0,1,0,4,3,2.329,-5.451,0
1,0,1,3,2,0.188,-1.527,0
0,1,1,1,0,0.288,1.394,1
0,1,0,4,1,1.991,-1.933,0
0,1,1,3,2,1.318,-2.472,0
1,0,0,3,0,0.298,1.591,1
0,1,0,3,0,1.291,0.83,2
0,1,1,1,0,-0.061,2.821,0
1,1,1,1,0,0.37,2.158,1
0,1,0,4,1,1.979,-3.07,0
1,1,1,3,2,0.715,-1.953,0
0,1,1,2,1,1.516,-0.187,1
0,1,0,3,1,-0.035,-0.119,0
0,1,0,4,1,1.178,0.002,1
0,1,1,4,0,1.642,1.893,5
0,1,1,2,1,0.598,-0.294,0
0,1,1,2,0,1.14,1.932,3
0,1,1,3,0,3.5,1.451,30
0,1,1,2,0,-0.79,2.817,0
0,1,1,4,0,2.662,1.657,13
0,1,0,2,1,1.606,-1.065,0
0,1,0,1,0,0.019,0.081,0
0,1,0,4,3,3.035,-4.824,0
0,1,0,1,0,0.051,0.922,0
0,1,1,3,1,0.745,-0.664,0
0,1,1,4,0,2.453,3.508,11
0,1,1,4,1,2.353,0.177,5
0,1,1,1,0,-1.108,0.772,0
1,0,0,2,0,0.515,1.657,1
1,1,1,2,1,1.983,-0.642,1
1,1,1,4,1,2.067,1.245,7
1,1,1,3,1,0.095,-2.269,0
0,1,1,4,1,5.353,-1.473,14
0,1,1,1,0,-0.712,3.02,0
0,1,1,4,0,3.484,2.356,32
1,0,0,3,2,2.401,-3.086,0
1,0,1,4,0,0.376,2.676,1
1,1,0,4,2,1.085,-2.655,0
0,1,1,1,0,-1.067,2.133,0
0,1,1,2,1,0.323,0.303,0
0,1,0,1,0,0.501,1.553,1
0,1,1,2,1,2.011,0.627,5
0,1,0,2,1,0.957,-2.058,0
0,1,1,2,1,1.114,0.285,1
0,1,1,2,1,-0.674,-0.708,0
0,1,1,4,0,3.197,1.515,22
1,0,0,2,0,-0.386,2.08,0
