longitude,latitude
0.93148148,0.81767956
0.93888889,0.76427256
0.93518519,0.72191529
0.97962963,0.66482505
0.78703704,0.6611418
0.84259259,0.64456722
0.93888889,0.62246777
0.73518519,0.61141805
0.73148148,0.59668508
0.83148148,0.55616943
0.83333333,0.54327808
0.93148148,0.57458564
0.93888889,0.52486188
0.59814815,0.49907919
0.78333333,0.48802947
0.90740741,0.45856354
0.72592593,0.44935543
0.59444444,0.44751381
0.66111111,0.44567219
0.87407407,0.44198895
0.88888889,0.44014733
0.66111111,0.43278085
0.81481481,0.39779006
0.58703704,0.39226519
0.97962963,0.39226519
0.96666667,0.38674033
0.72592593,0.37384899
0.78888889,0.37384899
0.6537037,0.34254144
0.59814815,0.33701657
0.94259259,0.33149171
0.72592593,0.30018416
0.78518519,0.30018416
0.5462963,0.28729282
0.70925926,0.28360958
0.9037037,0.27624309
0.77962963,0.26335175
0.77777778,0.24493554
0.46296296,0.24493554
0.47037037,0.23388582
0.74814815,0.22467772
0.88888889,0.21915285
0.57962963,0.21731123
0.95185185,0.20441989
0.65740741,0.20073665
0.67407407,0.1878453
0.74444444,0.1878453
0.72962963,0.18232044
0.72037037,0.17311234
0.67962963,0.1694291
0.54444444,0.16574586
0.91111111,0.15101289
0.84444444,0.13627993
0.42962963,0.1160221
0.43518519,0.10497238
0.55925926,0.10128913
0.90925926,0.099447514
0.96666667,0.095764273
0.48518519,0.090239411
0.82777778,0.081031308
0.71111111,0.079189687
0.88888889,0.079189687
0.62407407,0.073664825
0.88703704,0.066298343
0.76111111,0.064456722
0.89814815,0.05893186
0.41111111,0.053406998
0.97222222,0.051565378
0.35740741,0.049723757
0.9537037,0.040515654
0.45925926,0.02946593
0.82777778,0.027624309
0.83148148,0.98895028
0.84814815,0.98710866
0.71111111,0.98342541
0.86666667,0.97974217
0.71111111,0.97053407
0.71851852,0.9558011
0.038888889,0.946593
0.71666667,0.94290976
0.8,0.93001842
0.61296296,0.92265193
0.71111111,0.92081031
0.76481481,0.91896869
0.74074074,0.91344383
0.79259259,0.91344383
0.16296296,0.91344383
0.70740741,0.90791897
0.75555556,0.90423573
0.23703704,0.90239411
0.76851852,0.89871087
0.67407407,0.89134438
0.65555556,0.88766114
0.71111111,0.88766114
0.14074074,0.88766114
0.69444444,0.88581952
0.68148148,0.87845304
0.13888889,0.8747698
0.65740741,0.87292818
0.67777778,0.86740331
0.15555556,0.85082873
0.39074074,0.84714549
0.47407407,0.82688766
0.39814815,0.79189687
0.21851852,0.77900552
0.12222222,0.77532228
0.20555556,0.77163904
0.26481481,0.76979742
0.2962963,0.76058932
0.3037037,0.75322284
0.31296296,0.74401473
0.25,0.74401473
0.63703704,0.73480663
0.27222222,0.73480663
0.73148148,0.73112339
0.62592593,0.72191529
0.31111111,0.71639042
0.062962963,0.71270718
0.59444444,0.71270718
0.61851852,0.70902394
0.60185185,0.70718232
0.22222222,0.70165746
0.62777778,0.69797422
0.23518519,0.6961326
0.59814815,0.6961326
0.28148148,0.69244936
0.21851852,0.69244936
0.24814815,0.69060773
0.23148148,0.68508287
0.47592593,0.67955801
0.53888889,0.6519337
0.19814815,0.62615101
0.27777778,0.61694291
0.53148148,0.60405157
0.20555556,0.60036832
0.52037037,0.59668508
0.18518519,0.5893186
0.17777778,0.56906077
0.4037037,0.55616943
0.47592593,0.51381215
0.40740741,0.45672192
0.23333333,0.44935543
0.18703704,0.44751381
0.41111111,0.44751381
0.43148148,0.44751381
0.22037037,0.44198895
0.43703704,0.43646409
0.24259259,0.43278085
0.38333333,0.42725599
0.23703704,0.42173112
0.37037037,0.4198895
0.42962963,0.41436464
0.38333333,0.4106814
0.40740741,0.39963168
0.42777778,0.39594843
0.33148148,0.37384899
0.34259259,0.3664825
0.33518519,0.3572744
0.31666667,0.3480663
0.32592593,0.33149171
0.29259259,0.32965009
0.3037037,0.32412523
0.31666667,0.32044199
0.085185185,0.30570902
0.07962963,0.2946593
0.092592593,0.29097606
0.11481481,0.27071823
0.11666667,0.25598527
0.094444444,0.23941068
0.1,0.22651934
0.088888889,0.21915285
0.087037037,0.20994475
0.24814815,0.20441989
0.059259259,0.20257827
0.044444444,0.20073665
0.075925926,0.20073665
0.28148148,0.19705341
0.24444444,0.19152855
0.055555556,0.1878453
0.26851852,0.18047882
0.25185185,0.17679558
0.23148148,0.16022099
0.12592593,0.13627993
0.23703704,0.12154696
0.21481481,0.12154696
0.23148148,0.11049724
0.10185185,0.099447514
0.20740741,0.095764273
0.22962963,0.092081031
0.10185185,0.08839779
0.16111111,0.075506446
0.17407407,0.075506446
0.12592593,0.073664825
0.13888889,0.066298343
0.19074074,0.066298343
