,Ml,Ti,SC,Ya,Fi,Tr,Ch,Mn,To,Ha
Ml,1.0,0.85,0.75,0.0,0.33,0.05,0.0,0.0,0.08,0.0
Ti,0.85,1.0,0.93,0.0,0.33,0.05,0.0,0.01,0.06,0.0
SC,0.75,0.93,1.0,0.0,0.17,0.12,0.01,0.02,0.02,0.0
Ya,0.0,0.0,0.0,1.0,0.0,0.01,0.17,0.15,0.0,0.0
Fi,0.33,0.33,0.17,0.0,1.0,0.0,0.0,0.0,0.65,0.0
Tr,0.05,0.05,0.12,0.01,0.0,1.0,0.09,0.59,0.0,0.0
Ch,0.0,0.0,0.01,0.17,0.0,0.09,1.0,0.34,0.0,0.0
Mn,0.0,0.01,0.02,0.15,0.0,0.59,0.34,1.0,0.0,0.0
To,0.08,0.06,0.02,0.0,0.65,0.0,0.0,0.0,1.0,0.0
Ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
